Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID
Pedro Vite,MF,ec Ecuador,24,4.0,4,1,0.25,MF,Midfielder,PL0569
Vitinha,MF,pt Portugal,26,4.2,4,0,0.0,MF,Midfielder,PL0570
Nikola Vlaši?,MF,hr Croatia,28,2.1,3,1,0.48,MF,Midfielder,PL0571
Cristian Volpato,MF,au Australia,22,1.8,4,1,0.56,MF,Midfielder,PL0572
Elye Wahi,FW,ci Côte d'Ivoire,23,1.2,3,2,1.64,FW,Forward,PL0573
Paul Wanner,MF,at Austria,20,2.6,1,0,0.0,MF,Midfielder,PL0574
Cecilio Waterman,FW,pa Panama,35,0.8,2,1,1.18,FW,Forward,PL0575
Ollie Watkins,"FW,MF",eng England,30,0.6,1,0,0.0,FW,Forward,PL0576
Timothy Weah,MF,us USA,26,0.8,2,0,0.0,MF,Midfielder,PL0577
Wout Weghorst,FW,nl Netherlands,33,0.6,0,0,0.0,FW,Forward,PL0578
Iñaki Williams,"MF,FW",gh Ghana,31,1.4,3,0,0.0,MF,Midfielder,PL0579
Nico Williams,MF,es Spain,23,1.3,4,2,1.59,MF,Midfielder,PL0580
Patrick Wimmer,"FW,MF",at Austria,25,0.2,1,0,0.0,FW,Forward,PL0581
Florian Wirtz,MF,de Germany,23,4.0,10,1,0.25,MF,Midfielder,PL0582
Yoane Wissa,FW,cd Congo DR,29,4.0,11,3,0.75,FW,Forward,PL0583
Nick Woltemade,"FW,MF",de Germany,24,0.4,2,0,0.0,FW,Forward,PL0584
Chris Wood,FW,nz New Zealand,34,3.0,5,2,0.67,FW,Forward,PL0585
Granit Xhaka,MF,ch Switzerland,33,6.7,9,2,0.3,MF,Midfielder,PL0586
Kevin Yakob,MF,iq Iraq,25,0.3,1,0,0.0,MF,Midfielder,PL0587
Lamine Yamal,"MF,FW",es Spain,18,6.8,27,12,1.76,MF,Midfielder,PL0588
Yannick,MF,cv Cabo Verde,30,0.4,1,0,0.0,MF,Midfielder,PL0589
Gessime Yassine,MF,ma Morocco,20,0.9,2,1,1.13,MF,Midfielder,PL0590
John Yeboah,MF,ec Ecuador,25,3.5,8,3,0.87,MF,Midfielder,PL0591
Tete Yengi,FW,au Australia,25,0.3,1,1,3.75,FW,Forward,PL0592
Kenan Y?ld?z,MF,tr Türkiye,21,2.4,14,1,0.41,MF,Midfielder,PL0593
Caleb Yirenkyi,MF,gh Ghana,20,2.9,2,1,0.34,MF,Midfielder,PL0594
Seol Young-woo,MF,kr Korea Republic,27,2.8,2,0,0.0,MF,Midfielder,PL0595
Aria Yousefi,MF,ir IR Iran,24,0.5,1,1,2.0,MF,Midfielder,PL0596
Ali Yousif,FW,iq Iraq,30,0.4,0,0,0.0,FW,Forward,PL0597
?smail Yüksek,MF,tr Türkiye,27,1.5,5,0,0.0,MF,Midfielder,PL0598
Warren Zaïre-Emery,MF,fr France,20,1.2,1,0,0.0,MF,Midfielder,PL0599
Jaroslav Zelený,MF,cz Czechia,33,1.4,1,0,0.0,MF,Midfielder,PL0600
Alejandro Zendejas,"FW,MF",us USA,28,0.2,1,0,0.0,FW,Forward,PL0601
Besfort Zeneli,MF,se Sweden,23,0.7,1,1,1.5,MF,Midfielder,PL0602
Ramiz Zerrouki,MF,dz Algeria,28,1.2,0,0,0.0,MF,Midfielder,PL0603
Mostafa Ziko,"FW,MF",eg Egypt,29,4.1,8,3,0.73,FW,Forward,PL0604
Zizo,MF,eg Egypt,30,0.6,3,1,1.61,MF,Midfielder,PL0605
Martín Zubimendi,MF,es Spain,27,0.2,0,0,0.0,MF,Midfielder,PL0606
Themba Zwane,"FW,MF",za South Africa,36,0.3,0,0,0.0,FW,Forward,PL0607
Martin Ødegaard,MF,no Norway,27,5.2,9,3,0.57,MF,Midfielder,PL0608
