Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
246,Sergiño Dest,MF,us USA,25,2000,3.3,0,3,1,33.3,0.91,0.3,0,0,0,0,Matches
247,Frans Dhia Putros,DF,iq Iraq,32,1993,1,0,0,0,,0,0,,,0,0,Matches
248,Oumar Diakité,FW,ci Côte d'Ivoire,22,2003,0.3,0,0,0,,0,0,,,0,0,Matches
249,Amad Diallo,"MF,FW",ci Côte d'Ivoire,23,2002,2.1,2,8,4,50,3.89,1.95,0.25,0.5,0,0,Matches
250,Assane Diao,MF,sn Senegal,20,2005,0.1,0,0,0,,0,0,,,0,0,Matches
251,Habib Diarra,MF,sn Senegal,22,2004,1.6,2,4,2,50,2.52,1.26,0.5,1,0,0,Matches
252,Rúben Dias,DF,pt Portugal,29,1997,4,0,0,0,,0,0,,,0,0,Matches
253,Krépin Diatta,DF,sn Senegal,27,1999,4.3,0,1,0,0,0.23,0,0,,0,0,Matches
254,Mory Diaw,GK,sn Senegal,32,1993,2.6,0,0,0,,0,0,,,0,0,Matches
255,Brahim Díaz,MF,ma Morocco,26,1999,5.1,0,6,1,16.7,1.18,0.2,0,0,0,0,Matches
256,Ismael Díaz,"FW,MF",pa Panama,29,1997,0.4,0,6,2,33.3,14.59,4.86,0,0,0,0,Matches
257,Luis Díaz,"FW,MF",co Colombia,29,1997,5.3,1,19,6,31.6,3.58,1.13,0.05,0.17,0,0,Matches
258,Bamba Dieng,FW,sn Senegal,26,2000,0.1,0,0,0,,0,0,,,0,0,Matches
259,Lucas Digne,DF,fr France,32,1993,5.1,0,2,1,50,0.39,0.19,0,0,0,0,Matches
260,Diney,DF,cv Cabo Verde,31,1995,4.3,0,4,2,50,0.92,0.46,0,0,0,0,Matches
261,Ousmane Diomande,DF,ci Côte d'Ivoire,22,2003,1,0,0,0,,0,0,,,0,0,Matches
262,Yan Diomandé,"MF,FW",ci Côte d'Ivoire,19,2006,3.7,0,4,0,0,1.09,0,0,,0,0,Matches
263,Issa Diop,DF,ma Morocco,29,1997,5.3,1,1,1,100,0.19,0.19,1,1,0,0,Matches
264,El Hadji Malick Diouf,DF,sn Senegal,21,2004,1.9,0,0,0,,0,0,,,0,0,Matches
265,Ritsu Doan,MF,jp Japan,27,1998,3.1,0,1,0,0,0.32,0,0,,0,0,Matches
266,Jeremy Doku,MF,be Belgium,24,2002,3.4,0,3,1,33.3,0.87,0.29,0,0,0,0,Matches
267,Merchas Doski,DF,iq Iraq,26,1999,3,0,1,0,0,0.33,0,0,,0,0,Matches
268,David Doud?ra,MF,cz Czechia,28,1998,1,0,4,0,0,4,0,0,,0,0,Matches
269,Désiré Doué,MF,fr France,21,2005,4.4,1,13,8,61.5,2.93,1.8,0.08,0.13,0,0,Matches
270,Guéla Doué,DF,ci Côte d'Ivoire,23,2002,3.1,0,1,0,0,0.32,0,0,,0,0,Matches
271,Deroy Duarte,MF,cv Cabo Verde,26,1999,2.9,1,3,2,66.7,1.02,0.68,0.33,0.5,0,0,Matches
272,Laros Duarte,MF,cv Cabo Verde,29,1997,1.8,0,3,3,100,1.63,1.63,0,0,0,0,Matches
273,Denzel Dumfries,"DF,MF",nl Netherlands,30,1996,4.3,0,5,2,40,1.15,0.46,0,0,0,0,Matches
274,Jean-Kevin Duverne,DF,ht Haiti,28,1997,1.9,0,1,0,0,0.53,0,0,,0,0,Matches
275,Lyndon Dykes,"FW,MF",sct Scotland,30,1995,0.4,0,1,0,0,2.5,0,0,,0,0,Matches
276,Edin Džeko,FW,ba Bosnia–Herz,40,1986,2,0,3,0,0,1.53,0,0,,0,0,Matches
277,Roshon van Eijma,DF,cw Curaçao,28,1998,0.2,0,0,0,,0,0,,,0,0,Matches
278,Anthony Elanga,"MF,FW",se Sweden,24,2002,2.4,2,3,3,100,1.24,1.24,0.67,0.67,0,0,Matches
279,Meschak Elia,"FW,MF",cd Congo DR,28,1997,0.5,0,2,1,50,3.91,1.96,0,0,0,0,Matches
280,Callan Elliot,DF,nz New Zealand,26,1999,0.1,0,0,0,,0,0,,,0,0,Matches
281,Eren Elmal?,DF,tr Türkiye,25,2000,1.2,0,0,0,,0,0,,,0,0,Matches
282,Nico Elvedi,DF,ch Switzerland,29,1996,6.7,0,3,0,0,0.45,0,0,,0,0,Matches
283,Breel Embolo,FW,ch Switzerland,29,1997,5.6,2,10,5,50,1.8,0.9,0.2,0.4,1,1,Matches
284,Julio Enciso,FW,py Paraguay,22,2004,4.3,1,8,1,12.5,1.87,0.23,0.13,1,0,0,Matches
285,Endrick,FW,br Brazil,19,2006,1.3,0,3,0,0,2.37,0,0,,0,0,Matches
286,Sherzod Esanov,MF,uz Uzbekistan,23,2003,0,0,0,0,,0,0,,,0,0,Matches
287,Fidel Escobar,DF,pa Panama,31,1995,1,0,0,0,,0,0,,,0,0,Matches
288,Pervis Estupiñán,MF,ec Ecuador,28,1998,1,0,0,0,,0,0,,,0,0,Matches
289,Derrick Etienne,"FW,MF",ht Haiti,29,1996,0.1,0,0,0,,0,0,,,0,0,Matches
290,Stephen Eustáquio,MF,ca Canada,29,1996,4.4,1,4,1,25,0.92,0.23,0.25,1,0,0,Matches
291,Martin Expérience,"DF,MF",ht Haiti,27,1999,3,0,1,0,0,0.33,0,0,,0,0,Matches
292,Saeid Ezatolahi,MF,ir IR Iran,29,1996,2.9,0,6,2,33.3,2.05,0.68,0,0,0,0,Matches
293,Eberechi Eze,MF,eng England,27,1998,2.3,0,5,0,0,2.13,0,0,,0,0,Matches
294,Fabinho,"DF,MF",br Brazil,32,1993,0.8,0,1,0,0,1.27,0,0,,0,0,Matches
295,José Fajardo,FW,pa Panama,32,1993,1.7,0,1,0,0,0.58,0,0,,0,0,Matches
296,Odeh Al-Fakhouri,"MF,FW",jo Jordan,20,2005,1.6,0,2,1,50,1.22,0.61,0,0,0,0,Matches
297,Henrik Falchener,DF,no Norway,23,2003,0.7,0,0,0,,0,0,,,0,0,Matches
298,Marko Farji,MF,iq Iraq,22,2004,0.6,0,0,0,,0,0,,,0,0,Matches
299,Christian Fassnacht,"FW,MF",ch Switzerland,32,1993,0.1,0,0,0,,0,0,,,0,0,Matches
300,Abdul Fatawu Issahaku,"FW,MF",gh Ghana,22,2004,1.5,0,3,0,0,2.05,0,0,,0,0,Matches
301,Ahmed Fathy,MF,qa Qatar,33,1993,1.7,0,0,0,,0,0,,,0,0,Matches
302,Hamdy Fathy,"DF,MF",eg Egypt,31,1994,2.6,0,0,0,,0,0,,,0,0,Matches
303,Ahmed Fatouh,DF,eg Egypt,28,1998,3,0,1,1,100,0.34,0.34,0,0,0,0,Matches
304,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2003,2.4,1,3,2,66.7,1.23,0.82,0.33,0.5,0,0,Matches
305,João Félix,MF,pt Portugal,26,1999,2.2,0,6,1,16.7,2.69,0.45,0,0,0,0,Matches
306,Lewis Ferguson,MF,sct Scotland,26,1999,3,0,2,1,50,0.67,0.33,0,0,0,0,Matches
307,Bruno Fernandes,MF,pt Portugal,31,1994,4.7,0,9,3,33.3,1.92,0.64,0,0,0,0,Matches
308,Enzo Fernández,MF,ar Argentina,25,2001,7.3,2,12,4,33.3,1.64,0.55,0.17,0.5,0,0,Matches
309,Matias Fernandez-Pardo,"FW,MF",be Belgium,21,2005,0.5,0,3,0,0,6.14,0,0,,0,0,Matches
310,Álvaro Fidalgo,MF,mx Mexico,29,1997,1.1,1,3,2,66.7,2.81,1.87,0.33,0.5,0,0,Matches
311,Sherel Floranus,DF,cw Curaçao,27,1998,3,0,2,0,0,0.67,0,0,,0,0,Matches
312,Seko Fofana,MF,ci Côte d'Ivoire,31,1995,1,0,5,1,20,4.89,0.98,0,0,0,0,Matches
313,Yahia Fofana,GK,ci Côte d'Ivoire,25,2000,4,0,0,0,,0,0,,,0,0,Matches
314,Deveron Fonville,DF,cw Curaçao,23,2003,2.7,0,0,0,,0,0,,,0,0,Matches
315,Yassin Fortuné,"FW,MF",ht Haiti,27,1999,0.1,0,0,0,,0,0,,,0,0,Matches
316,Lyle Foster,FW,za South Africa,25,2000,0.6,0,1,0,0,1.64,0,0,,0,0,Matches
317,Alan Franco,DF,ec Ecuador,27,1998,2.8,0,0,0,,0,0,,,0,0,Matches
318,Alex Freeman,DF,us USA,21,2004,4.2,1,4,1,25,0.96,0.24,0.25,1,0,0,Matches
319,Matt Freese,GK,us USA,27,1998,4,0,0,0,,0,0,,,0,0,Matches
320,Remo Freuler,MF,ch Switzerland,34,1992,6.6,0,2,1,50,0.3,0.15,0,0,0,0,Matches
321,Marco Friedl,DF,at Austria,28,1998,0.3,0,0,0,,0,0,,,0,0,Matches
322,Juriën Gaari,DF,cw Curaçao,32,1993,1.8,0,2,0,0,1.08,0,0,,0,0,Matches
323,Jassem Gaber,MF,qa Qatar,24,2002,1.7,0,0,0,,0,0,,,0,0,Matches
324,Cody Gakpo,FW,nl Netherlands,27,1999,4.1,3,10,6,60,2.45,1.47,0.3,0.5,0,0,Matches
325,Matías Galarza,MF,py Paraguay,24,2002,4.3,1,2,1,50,0.46,0.23,0.5,1,0,0,Matches
326,Hernán Galíndez,GK,ec Ecuador,39,1987,4,0,0,0,,0,0,,,0,0,Matches
327,Jesús Gallardo,DF,mx Mexico,31,1994,4.1,0,4,0,0,0.97,0,0,,0,0,Matches
328,Ahmed Al-Ganehi,FW,qa Qatar,25,2000,0.4,0,1,0,0,2.5,0,0,,0,0,Matches
329,Ben Gannon-Doak,MF,sct Scotland,20,2005,2.1,0,4,0,0,1.94,0,0,,0,0,Matches
330,Eric García,"DF,MF",es Spain,25,2001,0.2,0,0,0,,0,0,,,0,0,Matches
331,Gavi,FW,es Spain,21,2004,0.8,0,1,0,0,1.18,0,0,,0,0,Matches
332,Jason Geria,DF,au Australia,33,1993,0.7,0,0,0,,0,0,,,0,0,Matches
333,Khalid Al Ghannam,MF,sa Saudi Arabia,25,2000,0,0,0,0,,0,0,,,0,0,Matches
334,Ismaël Gharbi,MF,tn Tunisia,22,2004,1.4,0,3,0,0,2.13,0,0,,0,0,Matches
335,Mehdi Ghayedi,FW,ir IR Iran,27,1998,0.5,0,1,0,0,2,0,0,,0,0,Matches
336,Farés Ghedjemis,"FW,MF",dz Algeria,23,2002,0,0,0,0,,0,0,,,0,0,Matches
337,Saman Ghoddos,MF,ir IR Iran,32,1993,2.3,0,4,0,0,1.73,0,0,,0,0,Matches
338,Mohammad Ghorbani,MF,ir IR Iran,25,2001,1,0,2,1,50,2,1,0,0,0,0,Matches
339,Lee Gi-hyuk,DF,kr Korea Republic,25,2000,3,0,0,0,,0,0,,,0,0,Matches
340,Armin Gigovic,MF,ba Bosnia–Herz,24,2002,0.9,0,0,0,,0,0,,,0,0,Matches
341,Orlando Gill,GK,py Paraguay,26,2000,5.3,0,0,0,,0,0,,,0,0,Matches
342,Santiago Giménez,FW,mx Mexico,25,2001,1,0,2,1,50,2.09,1.05,0,0,0,0,Matches
343,Aníbal Godoy,MF,pa Panama,36,1990,0,0,0,0,,0,0,,,0,0,Matches
344,Andrés Gómez,MF,co Colombia,23,2002,0,0,0,0,,0,0,,,0,0,Matches
345,Diego Gómez,MF,py Paraguay,23,2003,3.4,0,6,0,0,1.78,0,0,,0,0,Matches
346,Gustavo Gómez,DF,py Paraguay,33,1993,5.3,0,2,0,0,0.37,0,0,,0,0,Matches
347,Armando González,FW,mx Mexico,23,2003,0.2,0,0,0,,0,0,,,0,0,Matches
348,Nicolás González,MF,ar Argentina,28,1998,2.9,0,7,1,14.3,2.43,0.35,0,0,0,0,Matches
349,Anthony Gordon,MF,eng England,25,2001,4.4,1,6,4,66.7,1.36,0.91,0.17,0.25,0,0,Matches
350,Leon Goretzka,MF,de Germany,31,1995,1.1,0,2,0,0,1.82,0,0,,0,0,Matches
351,Kenji Gorré,"FW,MF",cw Curaçao,31,1994,0.2,0,0,0,,0,0,,,0,0,Matches
352,Keisuke Got?,FW,jp Japan,21,2005,0.1,0,0,0,,0,0,,,0,0,Matches
353,Amine Gouiri,FW,dz Algeria,26,2000,2.8,1,3,2,66.7,1.08,0.72,0.33,0.5,0,0,Matches
354,Ryan Gravenberch,MF,nl Netherlands,24,2002,3.8,0,5,0,0,1.3,0,0,,0,0,Matches
355,Michael Gregoritsch,FW,at Austria,32,1994,2.1,0,1,0,0,0.48,0,0,,0,0,Matches
356,Florian Grillitsch,"DF,MF",at Austria,30,1995,1,0,0,0,,0,0,,,0,0,Matches
357,Pascal Groß,"DF,MF",de Germany,34,1991,0.2,0,1,0,0,5,0,0,,0,0,Matches
358,Gabriel Gudmundsson,"MF,DF",se Sweden,27,1999,3.7,0,0,0,,0,0,,,0,0,Matches
359,Cho Gue-sung,FW,kr Korea Republic,28,1998,0.3,0,2,1,50,5.81,2.9,0,0,0,0,Matches
360,Marc Guéhi,DF,eng England,25,2000,7.4,0,1,0,0,0.14,0,0,,0,0,Matches
361,Evann Guessand,"FW,MF",ci Côte d'Ivoire,24,2001,0.2,0,1,0,0,5.29,0,0,,0,0,Matches
362,Idrissa Gueye,MF,sn Senegal,36,1989,4,0,5,1,20,1.25,0.25,0,0,0,0,Matches
363,Pape Gueye,MF,sn Senegal,27,1999,2.6,2,8,3,37.5,3.08,1.15,0.25,0.67,0,0,Matches
364,Bruno Guimarães,MF,br Brazil,28,1997,4.6,0,8,2,25,1.73,0.43,0,0,0,1,Matches
365,Deniz Gül,FW,tr Türkiye,21,2004,0.4,0,2,1,50,4.86,2.43,0,0,0,0,Matches
366,Arda Güler,MF,tr Türkiye,21,2005,3,1,12,4,33.3,4,1.33,0.08,0.25,0,0,Matches
367,Angus Gunn,GK,sct Scotland,30,1996,3,0,0,0,,0,0,,,0,0,Matches
368,Malo Gusto,DF,fr France,23,2003,1.3,0,0,0,,0,0,,,0,0,Matches
369,Brian Gutiérrez,MF,mx Mexico,22,2003,2.2,0,6,0,0,2.73,0,0,,0,0,Matches
370,Jorge Gutiérrez,DF,pa Panama,27,1998,1,0,0,0,,0,0,,,0,0,Matches
371,Joško Gvardiol,DF,hr Croatia,24,2002,1.5,0,1,0,0,0.65,0,0,,0,0,Matches
372,Viktor Gyökeres,FW,se Sweden,28,1998,4,1,12,6,50,3,1.5,0.08,0.17,0,0,Matches
373,Aziz G?aniyev,MF,uz Uzbekistan,28,1998,1.4,0,1,0,0,0.74,0,0,,0,0,Matches
374,Erling Haaland,FW,no Norway,25,2000,5.2,7,20,13,65,3.87,2.52,0.35,0.54,0,0,Matches
375,Ihsan Haddad,DF,jo Jordan,32,1994,2.9,0,1,0,0,0.35,0,0,,0,0,Matches
376,Anis Hadj Moussa,MF,dz Algeria,24,2002,1.1,0,2,0,0,1.84,0,0,,0,0,Matches
377,Jaouen Hadjam,DF,dz Algeria,23,2003,1.2,0,1,0,0,0.83,0,0,,0,0,Matches
378,Amir Hadžiahmetovi?,MF,ba Bosnia–Herz,29,1997,0.1,0,0,0,,0,0,,,0,0,Matches
379,Dennis Hadžikaduni?,DF,ba Bosnia–Herz,27,1998,0.3,0,0,0,,0,0,,,0,0,Matches
380,Karim Hafez,DF,eg Egypt,30,1996,1.9,0,1,0,0,0.52,0,0,,0,0,Matches
381,Ehsan Hajsafi,DF,ir IR Iran,36,1990,1,0,1,0,0,0.99,0,0,,0,0,Matches
382,Achraf Hakimi,DF,ma Morocco,27,1998,6.3,1,14,4,28.6,2.21,0.63,0.07,0.25,0,0,Matches
383,Redouane Halhal,DF,ma Morocco,23,2003,2,0,0,0,,0,0,,,0,0,Matches
384,Ali Al Hamadi,FW,iq Iraq,24,2002,2,0,6,0,0,3,0,0,,0,0,Matches
385,Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,1999,0.8,0,2,2,100,2.54,2.54,0,0,0,0,Matches
386,Mohamed Amine Ben Hamida,DF,tn Tunisia,30,1995,2.2,0,0,0,,0,0,,,0,0,Matches
387,Odiljon Hamrobekov,MF,uz Uzbekistan,30,1996,0.9,0,1,0,0,1.17,0,0,,0,0,Matches
388,Lee Han-beom,DF,kr Korea Republic,23,2002,3,0,2,0,0,0.67,0,0,,0,0,Matches
389,Grant Hanley,DF,sct Scotland,34,1991,2,0,0,0,,0,0,,,0,0,Matches
390,Sontje Hansen,FW,cw Curaçao,24,2002,0.5,0,1,1,100,2,2,0,0,0,0,Matches
391,Mohamed Hany,DF,eg Egypt,30,1996,5.3,0,4,0,0,0.75,0,0,,0,0,Matches
392,Moteb Al-Harbi,DF,sa Saudi Arabia,26,2000,2.1,0,0,0,,0,0,,,0,0,Matches
393,Saleh Hardani,DF,ir IR Iran,27,1998,1,0,0,0,,0,0,,,0,0,Matches
394,Carlos Harvey,MF,pa Panama,26,2000,3,0,5,0,0,1.69,0,0,,0,0,Matches
395,Akam Hashim,DF,iq Iraq,27,1998,3,0,1,0,0,0.33,0,0,,0,0,Matches
396,Haissem Hassan,MF,eg Egypt,24,2002,1.4,0,1,0,0,0.71,0,0,,0,0,Matches
397,Jalal Hassan,GK,iq Iraq,35,1991,1.5,0,0,0,,0,0,,,0,0,Matches
398,Abdulaziz Hatem,MF,qa Qatar,36,1990,0.5,0,0,0,,0,0,,,0,0,Matches
399,Jorrel Hato,DF,nl Netherlands,20,2006,0.4,0,0,0,,0,0,,,0,0,Matches
400,Kai Havertz,FW,de Germany,27,1999,3.9,3,12,7,58.3,3.06,1.78,0.25,0.43,1,1,Matches
401,Hassan Al-Haydos,MF,qa Qatar,35,1990,0.6,1,1,1,100,1.58,1.58,1,1,0,0,Matches
402,Jan Paul van Hecke,DF,nl Netherlands,26,2000,4.3,1,3,2,66.7,0.69,0.46,0.33,0.5,0,0,Matches
403,Hwang Hee-chan,FW,kr Korea Republic,30,1996,1.2,0,1,0,0,0.83,0,0,,0,0,Matches
404,Torbjørn Heggem,DF,no Norway,27,1999,4.9,0,1,1,100,0.2,0.2,0,0,0,0,Matches
405,Alaa Al Hejji,MF,sa Saudi Arabia,30,1995,0.4,0,0,0,,0,0,,,0,0,Matches
406,Dean Henderson,GK,eng England,29,1997,1,0,0,0,,0,0,,,0,0,Matches
407,Jordan Henderson,MF,eng England,35,1990,0.1,0,0,0,,0,0,,,0,0,Matches
408,Jack Hendry,DF,sct Scotland,31,1995,3,0,0,0,,0,0,,,0,0,Matches
409,Luiz Henrique,"FW,MF",br Brazil,25,2001,0.3,0,0,0,,0,0,,,0,0,Matches
410,Theo Hernández,DF,fr France,28,1997,2.9,0,3,0,0,1.05,0,0,,0,0,Matches
411,Lucas Herrington,DF,au Australia,18,2007,2.3,0,0,0,,0,0,,,0,0,Matches
412,Son Heung-min,FW,kr Korea Republic,33,1992,1.9,0,7,1,14.3,3.73,0.53,0,0,0,0,Matches
413,Aaron Hickey,DF,sct Scotland,24,2002,0.8,0,0,0,,0,0,,,0,0,Matches
414,Isak Hien,DF,se Sweden,27,1999,2.4,0,0,0,,0,0,,,0,0,Matches
415,Piero Hincapié,DF,ec Ecuador,24,2002,3.8,0,3,0,0,0.8,0,0,,0,0,Matches
416,Adam Hložek,FW,cz Czechia,23,2002,1.7,0,3,1,33.3,1.73,0.58,0,0,0,0,Matches
417,Tomáš Holeš,DF,cz Czechia,33,1993,1.7,0,0,0,,0,0,,,0,0,Matches
418,Amirhossein Hosseinzadeh,FW,ir IR Iran,25,2000,0.2,0,1,0,0,5.29,0,0,,0,0,Matches
419,Robin Hraná?,DF,cz Czechia,26,2000,3,0,0,0,,0,0,,,0,0,Matches
420,Ajdin Hrustic,MF,au Australia,29,1996,0.9,0,3,0,0,3.38,0,0,,0,0,Matches
421,César Huerta,"FW,MF",mx Mexico,25,2000,0.1,0,0,0,,0,0,,,0,0,Matches
422,Al-Hashmi Al-Hussain,MF,qa Qatar,22,2003,0.4,0,0,0,,0,0,,,0,0,Matches
423,Ayman Hussein,FW,iq Iraq,30,1996,1.3,1,3,1,33.3,2.35,0.78,0.33,1,0,0,Matches
424,Oh Hyeon-gyu,FW,kr Korea Republic,25,2001,1.4,1,4,2,50,2.79,1.4,0.25,0.5,0,0,Matches
425,Yang Hyun-jun,"FW,MF",kr Korea Republic,24,2002,0.2,0,1,1,100,4.5,4.5,0,0,0,0,Matches
426,Roger Ibanez,DF,br Brazil,27,1998,0.5,0,0,0,,0,0,,,0,0,Matches
427,Yasser Ibrahim,DF,eg Egypt,33,1993,5.2,1,1,1,100,0.19,0.19,1,1,0,0,Matches
428,Borja Iglesias,FW,es Spain,33,1993,0,0,0,0,,0,0,,,0,0,Matches
429,Hwang In-beom,MF,kr Korea Republic,29,1996,2.9,1,4,2,50,1.37,0.68,0.25,0.5,0,0,Matches
430,Christ Inao Oulaï,MF,ci Côte d'Ivoire,20,2006,2.3,0,2,0,0,0.87,0,0,,0,0,Matches
431,Zidane Iqbal,MF,iq Iraq,23,2003,2.1,0,0,0,,0,0,,,0,0,Matches
432,Nestory Irankunda,"FW,MF",au Australia,20,2006,2.9,1,6,2,33.3,2.07,0.69,0.17,0.5,0,0,Matches
433,Jackson Irvine,MF,au Australia,33,1993,2.5,0,3,1,33.3,1.21,0.4,0,0,0,0,Matches
434,Alexander Isak,FW,se Sweden,26,1999,4,1,8,6,75,2.02,1.51,0.13,0.17,0,0,Matches
435,Wilson Isidor,FW,ht Haiti,25,2000,2.1,1,5,2,40,2.42,0.97,0.2,0.5,0,0,Matches
436,Jamshid Iskanderov,"FW,MF",uz Uzbekistan,32,1993,0.1,0,0,0,,0,0,,,0,0,Matches
437,Zaid Ismail,MF,iq Iraq,24,2002,1.3,0,0,0,,0,0,,,0,0,Matches
438,Ko Itakura,DF,jp Japan,29,1997,1.4,0,0,0,,0,0,,,0,0,Matches
439,Jacob Italiano,DF,au Australia,24,2001,1.8,0,1,0,0,0.55,0,0,,0,0,Matches
440,Hiroki Ito,DF,jp Japan,27,1999,4,0,1,0,0,0.25,0,0,,0,0,Matches
441,Junya It?,MF,jp Japan,33,1993,2.4,1,3,1,33.3,1.25,0.42,0.33,1,0,0,Matches
442,Cedric Itten,"FW,MF",ch Switzerland,29,1996,0.5,0,0,0,,0,0,,,0,0,Matches
443,Nicolas Jackson,FW,sn Senegal,24,2001,2.6,0,7,3,42.9,2.69,1.15,0,0,0,0,Matches
444,Lee Jae-sung,FW,kr Korea Republic,33,1992,1.3,0,2,1,50,1.54,0.77,0,0,0,0,Matches
445,Alireza Jahanbakhsh,"FW,MF",ir IR Iran,32,1993,0.5,0,1,0,0,1.96,0,0,,0,0,Matches
446,Ismail Jakobs,DF,sn Senegal,26,1999,2.4,0,1,0,0,0.41,0,0,,0,0,Matches
447,Reece James,DF,eng England,26,1999,3.5,0,1,0,0,0.28,0,0,,0,0,Matches
448,Amer Jamous,MF,jo Jordan,23,2002,0.2,0,0,0,,0,0,,,0,0,Matches
449,Luca Jaquez,DF,ch Switzerland,23,2003,0.9,0,0,0,,0,0,,,0,0,Matches
450,Ardon Jashari,MF,ch Switzerland,23,2002,0.8,0,2,0,0,2.5,0,0,,0,0,Matches
451,Ali Jasim,MF,iq Iraq,22,2004,1.4,0,4,1,25,2.79,0.7,0,0,0,0,Matches
452,Danley Jean-Jacques,MF,ht Haiti,26,2000,2.9,0,0,0,,0,0,,,0,0,Matches
453,Eom Ji-sung,MF,kr Korea Republic,24,2002,0.5,0,0,0,,0,0,,,0,0,Matches
454,Raúl Jiménez,FW,mx Mexico,35,1991,3.5,3,18,7,38.9,5.11,1.99,0.17,0.43,1,1,Matches
455,Kim Jin-gyu,MF,kr Korea Republic,29,1997,0.6,0,1,0,0,1.73,0,0,,0,0,Matches
456,Park Jinseob,"DF,MF",kr Korea Republic,30,1995,0.4,0,1,1,100,2.81,2.81,0,0,0,0,Matches
457,Ruslanbek Jiyanov,FW,uz Uzbekistan,25,2001,0,0,0,0,,0,0,,,0,0,Matches
458,Alistair Johnston,DF,ca Canada,27,1998,5,0,5,2,40,1,0.4,0,0,0,0,Matches
459,Frenkie de Jong,MF,nl Netherlands,29,1997,3.6,0,1,0,0,0.27,0,0,,0,0,Matches
460,Lenny Joseph,FW,ht Haiti,25,2000,1.3,0,2,0,0,1.54,0,0,,0,0,Matches
461,Edmilson Junior,"MF,FW",qa Qatar,31,1994,2.3,0,3,2,66.7,1.29,0.86,0,0,0,0,Matches
462,Vinicius Júnior,FW,br Brazil,25,2000,4.9,4,17,11,64.7,3.48,2.25,0.24,0.36,0,0,Matches
463,Elijah Just,MF,nz New Zealand,26,2000,2.9,3,7,5,71.4,2.39,1.7,0.43,0.6,0,0,Matches
464,Musab Al Juwayr,"MF,FW",sa Saudi Arabia,22,2003,1.7,0,0,0,,0,0,,,0,0,Matches
465,Ayoub El Kaabi,FW,ma Morocco,32,1993,0.8,0,3,2,66.7,3.91,2.61,0,0,0,0,Matches
466,Ozan Kabak,DF,tr Türkiye,26,2000,1,0,0,0,,0,0,,,0,0,Matches
467,Ferdi Kadioglu,DF,tr Türkiye,26,1999,1.8,0,1,0,0,0.57,0,0,,0,0,Matches
468,Kaku,MF,py Paraguay,31,1995,0.1,0,0,0,,0,0,,,0,0,Matches
469,Saša Kalajdži?,FW,at Austria,28,1997,0.9,1,4,1,25,4.68,1.17,0.25,1,0,0,Matches
470,Gédéon Kalulu,DF,cd Congo DR,28,1997,0.1,0,0,0,,0,0,,,0,0,Matches
471,Daichi Kamada,MF,jp Japan,29,1996,3.7,2,3,2,66.7,0.82,0.55,0.67,1,0,0,Matches
472,Hossein Kanaanizadegan,DF,ir IR Iran,32,1994,1.5,0,1,1,100,0.67,0.67,0,0,0,0,Matches
473,Harry Kane,FW,eng England,32,1993,7.2,6,23,12,52.2,3.17,1.66,0.26,0.5,2,2,Matches
474,Lee Kang-in,FW,kr Korea Republic,25,2001,3,0,4,1,25,1.33,0.33,0,0,0,0,Matches
475,Mohamed Kanno,MF,sa Saudi Arabia,31,1994,2.5,0,3,2,66.7,1.2,0.8,0,0,0,0,Matches
476,Steve Kapuadi,DF,cd Congo DR,28,1998,2,0,1,0,0,0.5,0,0,,0,0,Matches
477,Bekhruz Karimov,DF,uz Uzbekistan,18,2007,2,0,2,0,0,1.01,0,0,,0,0,Matches
478,Jesper Karlström,MF,se Sweden,30,1995,1.5,0,1,0,0,0.65,0,0,,0,0,Matches
479,Gervane Kastaneer,"FW,MF",cw Curaçao,30,1996,0.3,0,1,0,0,3,0,0,,0,0,Matches
480,Nikola Kati?,DF,ba Bosnia–Herz,29,1996,3.5,0,2,0,0,0.57,0,0,,0,0,Matches
481,Edo Kayembe,MF,cd Congo DR,28,1998,1.8,0,2,1,50,1.13,0.56,0,0,0,0,Matches
482,Joris Kayembe,"DF,FW",cd Congo DR,31,1994,0.5,0,1,0,0,2,0,0,,0,0,Matches
483,Franck Kessié,MF,ci Côte d'Ivoire,29,1996,3.8,1,4,2,50,1.04,0.52,0.25,0.5,0,0,Matches
484,Abdullah Al-Khaibari,MF,sa Saudi Arabia,29,1996,2,0,1,0,0,0.5,0,0,,0,0,Matches
485,Shoja' Khalilzadeh,DF,ir IR Iran,37,1989,3,0,2,0,0,0.67,0,0,,0,0,Matches
486,Dostonbek Khamdamov,MF,uz Uzbekistan,29,1996,1.1,0,2,0,0,1.75,0,0,,0,0,Matches
487,Bilal El Khannouss,"MF,FW",ma Morocco,22,2004,5.1,0,6,4,66.7,1.17,0.78,0,0,0,0,Matches
488,Rani Khedira,MF,tn Tunisia,32,1994,1.7,0,1,0,0,0.6,0,0,,0,0,Matches
489,Boualem Khoukhi,DF,qa Qatar,35,1990,3,1,3,1,33.3,1,0.33,0.33,1,0,0,Matches
490,Abdukodir Khusanov,DF,uz Uzbekistan,22,2004,3,0,0,0,,0,0,,,0,0,Matches
