Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID,IQR_Lower_Bound,IQR_Upper_Bound,Potential_Outlier
Chemsdine Talbi,MF,ma Morocco,21,2.0,2,0,0.0,MF,Midfielder,PL0531,-0.96,1.6,False
Ao Tanaka,MF,jp Japan,27,2.1,2,0,0.0,MF,Midfielder,PL0532,-0.96,1.6,False
Mehdi Taremi,FW,ir IR Iran,33,2.9,5,2,0.69,FW,Forward,PL0533,-1.8824999999999998,3.1374999999999997,False
Aurélien Tchouaméni,MF,fr France,26,4.0,3,0,0.0,MF,Midfielder,PL0534,-0.96,1.6,False
Igor Thiago,FW,br Brazil,24,0.7,2,1,1.48,FW,Forward,PL0535,-1.8824999999999998,3.1374999999999997,False
Ryan Thomas,MF,nz New Zealand,31,0.9,0,0,0.0,MF,Midfielder,PL0536,-0.96,1.6,False
Brandon Thomas-Asante,"FW,MF",gh Ghana,27,0.6,1,0,0.0,FW,Forward,PL0537,-1.8824999999999998,3.1374999999999997,False
Morten Thorsby,MF,no Norway,30,0.5,0,0,0.0,MF,Midfielder,PL0538,-0.96,1.6,False
Kristian Thorstvedt,MF,no Norway,27,0.7,3,1,1.43,MF,Midfielder,PL0539,-0.96,1.6,False
Youri Tielemans,MF,be Belgium,29,5.3,11,3,0.57,MF,Midfielder,PL0540,-0.96,1.6,False
Kieran Tierney,MF,sct Scotland,29,1.2,2,0,0.0,MF,Midfielder,PL0541,-0.96,1.6,False
Guus Til,"FW,MF",nl Netherlands,28,0.4,0,0,0.0,FW,Forward,PL0542,-1.8824999999999998,3.1374999999999997,False
Malik Tillman,MF,us USA,24,4.0,8,4,1.01,MF,Midfielder,PL0543,-0.96,1.6,False
Quinten Timber,MF,nl Netherlands,24,0.6,0,0,0.0,MF,Midfielder,PL0544,-0.96,1.6,False
Ivan Toney,FW,eng England,30,0.9,2,1,1.14,FW,Forward,PL0545,-1.8824999999999998,3.1374999999999997,False
Mehdi Torabi,MF,ir IR Iran,31,0.3,0,0,0.0,MF,Midfielder,PL0546,-0.96,1.6,False
Ferran Torres,FW,es Spain,26,3.2,14,4,1.25,FW,Forward,PL0547,-1.8824999999999998,3.1374999999999997,False
Sebastian Tounekti,FW,tn Tunisia,23,0.9,0,0,0.0,FW,Forward,PL0548,-1.8824999999999998,3.1374999999999997,False
Bazoumana Touré,MF,ci Côte d'Ivoire,20,0.9,0,0,0.0,MF,Midfielder,PL0549,-0.96,1.6,False
Mo Touré,FW,au Australia,22,1.8,4,1,0.55,FW,Forward,PL0550,-1.8824999999999998,3.1374999999999997,False
Trézéguet,MF,eg Egypt,31,1.8,8,3,1.65,MF,Midfielder,PL0551,-0.96,1.6,True
Francisco Trincão,"FW,MF",pt Portugal,26,0.3,1,0,0.0,FW,Forward,PL0552,-1.8824999999999998,3.1374999999999997,False
Leandro Trossard,"MF,FW",be Belgium,31,5.6,17,3,0.53,MF,Midfielder,PL0553,-0.96,1.6,False
Ayase Ueda,FW,jp Japan,27,3.6,9,4,1.12,FW,Forward,PL0554,-1.8824999999999998,3.1374999999999997,False
Manuel Ugarte,MF,uy Uruguay,25,2.0,3,1,0.49,MF,Midfielder,PL0555,-0.96,1.6,False
Deniz Undav,FW,de Germany,29,1.7,6,4,2.38,FW,Forward,PL0556,-1.8824999999999998,3.1374999999999997,False
Oston Urunov,MF,uz Uzbekistan,25,0.7,0,0,0.0,MF,Midfielder,PL0557,-0.96,1.6,False
Can Uzun,MF,tr Türkiye,20,0.4,4,1,2.37,MF,Midfielder,PL0558,-0.96,1.6,True
Enner Valencia,FW,ec Ecuador,36,3.2,10,6,1.88,FW,Forward,PL0559,-1.8824999999999998,3.1374999999999997,False
Federico Valverde,MF,uy Uruguay,27,2.6,10,2,0.76,MF,Midfielder,PL0560,-0.96,1.6,False
Hans Vanaken,MF,be Belgium,33,3.5,5,1,0.28,MF,Midfielder,PL0561,-0.96,1.6,False
Hélio Varela,FW,cv Cabo Verde,24,1.2,3,1,0.87,FW,Forward,PL0562,-1.8824999999999998,3.1374999999999997,False
Obed Vargas,MF,mx Mexico,20,0.7,1,1,1.36,MF,Midfielder,PL0563,-0.96,1.6,False
Ruben Vargas,MF,ch Switzerland,27,3.2,6,4,1.27,MF,Midfielder,PL0564,-0.96,1.6,False
Alexis Vega,"FW,MF",mx Mexico,28,0.1,0,0,0.0,FW,Forward,PL0565,-1.8824999999999998,3.1374999999999997,False
Nishan Velupillay,MF,au Australia,25,0.8,0,0,0.0,MF,Midfielder,PL0566,-0.96,1.6,False
Federico Viñas,FW,uy Uruguay,27,2.1,6,3,1.41,FW,Forward,PL0567,-1.8824999999999998,3.1374999999999997,False
Denis Višinský,FW,cz Czechia,23,0.6,3,0,0.0,FW,Forward,PL0568,-1.8824999999999998,3.1374999999999997,False
Pedro Vite,MF,ec Ecuador,24,4.0,4,1,0.25,MF,Midfielder,PL0569,-0.96,1.6,False
Vitinha,MF,pt Portugal,26,4.2,4,0,0.0,MF,Midfielder,PL0570,-0.96,1.6,False
Nikola Vlaši?,MF,hr Croatia,28,2.1,3,1,0.48,MF,Midfielder,PL0571,-0.96,1.6,False
